Year,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),6.26E+13,6.47E+13,6.68E+13,6.89E+13,7.10E+13,7.31E+13,7.51E+13,7.71E+13,7.91E+13,8.12E+13,8.32E+13,8.55E+13,8.77E+13,9.00E+13,9.23E+13,9.45E+13,9.67E+13,9.88E+13,1.01E+14,1.03E+14,1.05E+14,1.07E+14,1.10E+14,1.12E+14,1.15E+14,1.17E+14,1.19E+14,1.21E+14,1.23E+14,1.25E+14,1.28E+14,1.30E+14,1.32E+14,1.34E+14,,
coal (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
natural gas (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
petroleum diesel (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
biomass (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
kerosene (BTU),3.57306E+11,2.85845E+11,2.14384E+11,1.42923E+11,71461294087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LPG propane or butane (BTU),9.34623E+13,9.72064E+13,1.0095E+14,1.04695E+14,1.08439E+14,1.12183E+14,1.13951E+14,1.1572E+14,1.17489E+14,1.19257E+14,1.21026E+14,1.25264E+14,1.29503E+14,1.33741E+14,1.3798E+14,1.42218E+14,1.42791E+14,1.43363E+14,1.43936E+14,1.44509E+14,1.45081E+14,1.43972E+14,1.42863E+14,1.41754E+14,1.40645E+14,1.39535E+14,1.38944E+14,1.38353E+14,1.37762E+14,1.3717E+14,1.36579E+14,1.35988E+14,1.35396E+14,1.34805E+14,,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
