Unit: $/(BTU/yr) - a measure of capacity of the fuel-burning equipment that would have been purchased in the absence of an electrification policy,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
coal,1.201E-05,1.181E-05,1.163E-05,1.146E-05,1.128E-05,1.110E-05,1.093E-05,1.075E-05,1.057E-05,1.040E-05,1.022E-05,1.004E-05,9.859E-06,9.720E-06,9.582E-06,9.444E-06,9.305E-06,9.167E-06,9.029E-06,8.890E-06,8.752E-06,8.614E-06,8.475E-06,8.337E-06,8.199E-06,8.061E-06,7.922E-06,7.784E-06,7.646E-06,7.507E-06,7.369E-06,7.231E-06,,
natural gas,1.201E-05,1.181E-05,1.163E-05,1.146E-05,1.128E-05,1.110E-05,1.093E-05,1.075E-05,1.057E-05,1.040E-05,1.022E-05,1.004E-05,9.859E-06,9.720E-06,9.582E-06,9.444E-06,9.305E-06,9.167E-06,9.029E-06,8.890E-06,8.752E-06,8.614E-06,8.475E-06,8.337E-06,8.199E-06,8.061E-06,7.922E-06,7.784E-06,7.646E-06,7.507E-06,7.369E-06,7.231E-06,,
petroleum diesel,1.210E-05,1.190E-05,1.173E-05,1.155E-05,1.137E-05,1.120E-05,1.102E-05,1.084E-05,1.067E-05,1.049E-05,1.031E-05,1.014E-05,9.951E-06,9.813E-06,9.674E-06,9.536E-06,9.398E-06,9.259E-06,9.121E-06,8.983E-06,8.844E-06,8.706E-06,8.568E-06,8.429E-06,8.291E-06,8.153E-06,8.014E-06,7.876E-06,7.738E-06,7.599E-06,7.461E-06,7.323E-06,,
heat,1.201E-05,1.181E-05,1.163E-05,1.146E-05,1.128E-05,1.110E-05,1.093E-05,1.075E-05,1.057E-05,1.040E-05,1.022E-05,1.004E-05,9.859E-06,9.720E-06,9.582E-06,9.444E-06,9.305E-06,9.167E-06,9.029E-06,8.890E-06,8.752E-06,8.614E-06,8.475E-06,8.337E-06,8.199E-06,8.061E-06,7.922E-06,7.784E-06,7.646E-06,7.507E-06,7.369E-06,7.231E-06,,
biomass,1.210E-05,1.190E-05,1.173E-05,1.155E-05,1.137E-05,1.120E-05,1.102E-05,1.084E-05,1.067E-05,1.049E-05,1.031E-05,1.014E-05,9.951E-06,9.813E-06,9.674E-06,9.536E-06,9.398E-06,9.259E-06,9.121E-06,8.983E-06,8.844E-06,8.706E-06,8.568E-06,8.429E-06,8.291E-06,8.153E-06,8.014E-06,7.876E-06,7.738E-06,7.599E-06,7.461E-06,7.323E-06,,
kerosene,1.210E-05,1.190E-05,1.173E-05,1.155E-05,1.137E-05,1.120E-05,1.102E-05,1.084E-05,1.067E-05,1.049E-05,1.031E-05,1.014E-05,9.951E-06,9.813E-06,9.674E-06,9.536E-06,9.398E-06,9.259E-06,9.121E-06,8.983E-06,8.844E-06,8.706E-06,8.568E-06,8.429E-06,8.291E-06,8.153E-06,8.014E-06,7.876E-06,7.738E-06,7.599E-06,7.461E-06,7.323E-06,,
heavy or residual fuel oil,1.210E-05,1.190E-05,1.173E-05,1.155E-05,1.137E-05,1.120E-05,1.102E-05,1.084E-05,1.067E-05,1.049E-05,1.031E-05,1.014E-05,9.951E-06,9.813E-06,9.674E-06,9.536E-06,9.398E-06,9.259E-06,9.121E-06,8.983E-06,8.844E-06,8.706E-06,8.568E-06,8.429E-06,8.291E-06,8.153E-06,8.014E-06,7.876E-06,7.738E-06,7.599E-06,7.461E-06,7.323E-06,,
LPG propane or butane,1.201E-05,1.181E-05,1.163E-05,1.146E-05,1.128E-05,1.110E-05,1.093E-05,1.075E-05,1.057E-05,1.040E-05,1.022E-05,1.004E-05,9.859E-06,9.720E-06,9.582E-06,9.444E-06,9.305E-06,9.167E-06,9.029E-06,8.890E-06,8.752E-06,8.614E-06,8.475E-06,8.337E-06,8.199E-06,8.061E-06,7.922E-06,7.784E-06,7.646E-06,7.507E-06,7.369E-06,7.231E-06,,
hydrogen,1.201E-05,1.181E-05,1.163E-05,1.146E-05,1.128E-05,1.110E-05,1.093E-05,1.075E-05,1.057E-05,1.040E-05,1.022E-05,1.004E-05,9.859E-06,9.720E-06,9.582E-06,9.444E-06,9.305E-06,9.167E-06,9.029E-06,8.890E-06,8.752E-06,8.614E-06,8.475E-06,8.337E-06,8.199E-06,8.061E-06,7.922E-06,7.784E-06,7.646E-06,7.507E-06,7.369E-06,7.231E-06,,
