BTU/yr,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cement and other carbonate use,7.557E+14,7.882E+14,8.207E+14,8.531E+14,8.856E+14,9.180E+14,9.609E+14,1.004E+15,1.047E+15,1.090E+15,1.133E+15,1.189E+15,1.245E+15,1.301E+15,1.357E+15,1.413E+15,1.480E+15,1.546E+15,1.612E+15,1.678E+15,1.744E+15,1.807E+15,1.870E+15,1.933E+15,1.996E+15,2.059E+15,2.116E+15,2.173E+15,2.230E+15,2.287E+15,2.344E+15,2.401E+15,2.458E+15,2.515E+15
Natural gas and petroleum systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and steel,2.210E+15,2.355E+15,2.500E+15,2.645E+15,2.791E+15,2.936E+15,3.118E+15,3.300E+15,3.482E+15,3.664E+15,3.846E+15,4.078E+15,4.311E+15,4.543E+15,4.775E+15,5.007E+15,5.220E+15,5.433E+15,5.646E+15,5.859E+15,6.072E+15,6.241E+15,6.411E+15,6.580E+15,6.750E+15,6.919E+15,7.031E+15,7.143E+15,7.254E+15,7.366E+15,7.478E+15,7.590E+15,7.701E+15,7.813E+15
Chemicals,2.380E+14,2.402E+14,2.423E+14,2.444E+14,2.465E+14,2.486E+14,2.503E+14,2.519E+14,2.536E+14,2.552E+14,2.569E+14,2.577E+14,2.585E+14,2.593E+14,2.600E+14,2.608E+14,2.613E+14,2.618E+14,2.622E+14,2.627E+14,2.631E+14,2.633E+14,2.634E+14,2.635E+14,2.636E+14,2.637E+14,2.631E+14,2.626E+14,2.621E+14,2.615E+14,2.610E+14,2.604E+14,2.599E+14,2.593E+14
Coal Mining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water + Waste,8.333E+10,8.426E+10,8.517E+10,8.607E+10,8.696E+10,8.783E+10,8.868E+10,8.952E+10,9.034E+10,9.115E+10,9.193E+10,9.269E+10,9.343E+10,9.415E+10,9.484E+10,9.551E+10,9.616E+10,9.677E+10,9.736E+10,9.792E+10,9.845E+10,9.896E+10,9.944E+10,9.990E+10,1.003E+11,1.007E+11,1.011E+11,1.015E+11,1.018E+11,1.022E+11,1.025E+11,1.027E+11,1.030E+11,1.032E+11
Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other industries,1.203E+15,1.225E+15,1.247E+15,1.269E+15,1.291E+15,1.314E+15,1.341E+15,1.368E+15,1.394E+15,1.421E+15,1.448E+15,1.477E+15,1.506E+15,1.534E+15,1.563E+15,1.592E+15,1.630E+15,1.668E+15,1.706E+15,1.745E+15,1.783E+15,1.838E+15,1.893E+15,1.948E+15,2.003E+15,2.057E+15,2.101E+15,2.144E+15,2.187E+15,2.230E+15,2.274E+15,2.317E+15,2.360E+15,2.403E+15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
