Pollutant:,BC,Unit: grams of BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.141E+10,1.141E+10,1.141E+10,1.141E+10,1.163E+10,1.174E+10,1.184E+10,1.195E+10,1.205E+10,1.215E+10,1.225E+10,1.234E+10,1.243E+10,1.252E+10,1.261E+10,1.269E+10,1.277E+10,1.285E+10,1.292E+10,1.299E+10,1.305E+10,1.311E+10,1.317E+10,1.322E+10,1.327E+10,1.332E+10,1.336E+10,1.340E+10,1.344E+10,1.347E+10,1.350E+10
coal mining 05,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.114E+09,1.114E+09,1.114E+09,1.114E+09,1.131E+09,1.139E+09,1.151E+09,1.157E+09,1.162E+09,1.165E+09,1.170E+09,1.175E+09,1.182E+09,1.190E+09,1.198E+09,1.206E+09,1.213E+09,1.220E+09,1.227E+09,1.232E+09,1.238E+09,1.242E+09,1.247E+09,1.252E+09,1.257E+09,1.261E+09,1.264E+09,1.267E+09,1.270E+09,1.273E+09,1.276E+09
oil and gas extraction 06,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.899E+09,1.899E+09,1.899E+09,1.899E+09,1.959E+09,1.972E+09,1.969E+09,1.983E+09,2.003E+09,2.014E+09,2.030E+09,2.045E+09,2.062E+09,2.079E+09,2.098E+09,2.117E+09,2.134E+09,2.151E+09,2.165E+09,2.179E+09,2.191E+09,2.202E+09,2.211E+09,2.219E+09,2.228E+09,2.235E+09,2.241E+09,2.249E+09,2.250E+09,2.257E+09,2.262E+09
other mining and quarrying 07T08,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
food beverage and tobacco 10T12,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
textiles apparel and leather 13T15,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
wood products 16,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
pulp paper and printing 17T18,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.000E+09,1.000E+09,1.055E+09,1.033E+09,1.013E+09,1.012E+09,1.018E+09,1.024E+09,1.031E+09,1.036E+09,1.042E+09,1.049E+09,1.057E+09,1.064E+09,1.072E+09,1.080E+09,1.086E+09,1.093E+09,1.099E+09,1.105E+09,1.111E+09,1.118E+09,1.124E+09,1.130E+09,1.133E+09,1.136E+09,1.141E+09,1.147E+09,1.150E+09,1.154E+09,1.162E+09
refined petroleum and coke 19,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.522E+08,9.522E+08,9.522E+08,9.522E+08,1.012E+09,1.054E+09,1.084E+09,1.100E+09,1.116E+09,1.124E+09,1.138E+09,1.137E+09,1.139E+09,1.133E+09,1.135E+09,1.138E+09,1.134E+09,1.132E+09,1.127E+09,1.125E+09,1.121E+09,1.117E+09,1.109E+09,1.098E+09,1.100E+09,1.106E+09,1.118E+09,1.120E+09,1.123E+09,1.115E+09,1.118E+09
chemicals 20,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.981E+09,1.981E+09,1.981E+09,1.981E+09,2.038E+09,2.017E+09,2.010E+09,2.039E+09,2.068E+09,2.094E+09,2.117E+09,2.137E+09,2.156E+09,2.177E+09,2.198E+09,2.218E+09,2.238E+09,2.257E+09,2.274E+09,2.291E+09,2.306E+09,2.323E+09,2.342E+09,2.358E+09,2.373E+09,2.389E+09,2.402E+09,2.413E+09,2.428E+09,2.444E+09,2.454E+09
